nr,commission_representative,portfolio,date,location,subject(s)-edited,lobbyist,health_meeting_or_lab,,,
1,"Ladislav Miko, Director-General",Director-General of Health and Food Safety (SANTE),15/04/2015,"Brussels, BELGIUM",Seeds,"ARCHE NOAH, Gesellschaft für die Erhaltung der Kulturpflanzenvielfalt und ihre Entwicklung (ARCHE NOAH)",FALSE,,,
2,"Arunas Ribokas, Cabinet member of Vytenis Andriukaitis;Vytenis Andriukaitis, Commissioner;Arunas Vinciunas, Cabinet member of Vytenis Andriukaitis;Marco Valletta, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,30/01/2015,Brussels,"The Food Chain, Innovation and Challenges, Food Information to Consumers, Nutrition, and Food Waste, Animal Healt, Animal Welfare and Plant Healt","ARCHE NOAH, Gesellschaft für die Erhaltung der Kulturpflanzenvielfalt und ihre Entwicklung (ARCHE NOAH)",FALSE,,,
3,"Nathalie Chaze, Cabinet member of Vytenis Andriukaitis;Vytenis Andriukaitis, Commissioner",Health & Food Safety,6/01/2015,Brussels,Plant Reproductive Material Proposal,"ARCHE NOAH, Gesellschaft für die Erhaltung der Kulturpflanzenvielfalt und ihre Entwicklung (ARCHE NOAH)",FALSE,,,
1,"Roberto Viola, Director-General","Director-General of Communications Networks, Content and Technology (CONNECT)",21/02/2019,Brussels,Quantum Technologies,Austrian Institute of Technology GmbH (AIT),FALSE,,,
2,"Mariya Gabriel, Commissioner",Digital Economy and Society,8/01/2019,Sofia,"Cloud computing, Cybersecurity",Austrian Institute of Technology GmbH (AIT),FALSE,,,
1,"Jyrki Katainen, Vice-President","Jobs, Growth, Investment and Competitiveness",11/05/2017,Brussels,Future outlook of the Energy Union package,Borealis AG (Borealis),FALSE,,,
2,"Aurore Maillet, Cabinet member of Karmenu Vella","Environment, Maritime Affairs and Fisheries",2/03/2016,Brusselse,Circular Economy,Borealis AG (Borealis),FALSE,,,
3,"Nele Eichhorn, Cabinet member of Cecilia Malmström",Trade,9/06/2015,Brussels,Anti-dumping duties in the light of China ́s protocol of accession to WTO,Borealis AG (Borealis),FALSE,,,
1,"Pauline Weinzierl, Cabinet member of Thierry Breton;Lucia Caudet, Cabinet member of Thierry Breton",Internal Market,28/01/2020,"Brussels, Belgium","Discussions on the priorities of the New Commission of relevance to the retail sector, implementation of key legislation and key barriers faced by the sector across the EU and in specific markets.",BSH advisors,FALSE,,,
2,"Kaius Kristian Hedberg, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",1/12/2017,Brussels,retail sector (BSH do the representation for SPAR Austria at EU level),BSH advisors,FALSE,,,
1,"Margrethe Vestager, Executive Vice-President",Europe Fit for Digital Age,4/12/2019,Brussels,Competition policy,Bundesarbeitskammer Österreich (BAK),FALSE,,,
2,"Isabelle Perignon, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",16/03/2016,"Brussels, Belgium",State aid and cartelisation,Bundesarbeitskammer Österreich (BAK),FALSE,,,
3,"Eduard Hulicius, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",16/03/2016,"Brussels, Belgium",Situation on of Austrian railways (abuse of market dominance),Bundesarbeitskammer Österreich (BAK),FALSE,,,
4,"Stefaan Hermans, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",4/02/2015,"Brussels, Belgium",Social and employment priorities of the European Commission,Bundesarbeitskammer Österreich (BAK),FALSE,,,
5,"Maroš Šefčovič, Vice-President",Energy Union,4/12/2014,Brussels,Energy and Climate Policy,Bundesarbeitskammer Österreich (BAK),FALSE,,,
1,"Christoph Nerlich, Cabinet member of Nicolas Schmit;Eugenia Dumitriu-Segnana, Cabinet member of Nicolas Schmit",Jobs and Social Rights,20/10/2020,webex,"implementation of the European Pillar of Social Rights, exchange concerning the circulating idea of a European Social Security Number",Dachverband der österreichischen Sozialversicherungen (DVSV),FALSE,,,
2,"Ines Prainsack, Cabinet member of Stella Kyriakides;Karolina Herbout-Borczak, Cabinet member of Stella Kyriakides",Health,14/10/2020,Virtual meeting,Presentation of position by the Austrian Social Insurance on the Pharmaceutical Strategy and exchange of views.,Dachverband der österreichischen Sozialversicherungen (DVSV),TRUE,,,
1,"Ines Prainsack, Cabinet member of Stella Kyriakides;Panayiotis Pourgourides, Cabinet member of Stella Kyriakides",Health,18/11/2020,Virtual meeting,"Exchange of views with EFNA, EAN and EBC on EU4Health, the impact of COVID- 19 on mental and neurological health and their participation and contribution in the Health Policy Platform and other fora.",European Academy of Neurology (EAN),TRUE,,,
1,"Daniel Calleja Crespo, Director-General",Director-General of Environment (ENV),6/03/2019,Brussels,Participation in the European Health Forum Gastein - air pollution,European Health Forum Gastein (EHFG),TRUE,,,
2,"Anne Bucher, Director-General",Director-General of Health and Food Safety (SANTE),6/03/2019,Brussels,introductory meeting,European Health Forum Gastein (EHFG),TRUE,,,
3,"Xavier Prats Monné, Director-General",Director-General of Health and Food Safety (SANTE),31/05/2018,Brussels,First contact with the President of EHFG,European Health Forum Gastein (EHFG),TRUE,,,
4,"Alina Timofte, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,29/05/2018,Brussels,"HTA, health determinants, health in Europe",European Health Forum Gastein (EHFG),TRUE,,,
5,"Annika Nowak, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,7/03/2018,Brussels,Program of the next EHFG,European Health Forum Gastein (EHFG),TRUE,,,
6,"Annika Nowak, Cabinet member of Vytenis Andriukaitis;Arunas Vinciunas, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,16/03/2017,Brussels,Commissioner's participation in Gastein Forum,European Health Forum Gastein (EHFG),TRUE,,,
7,"Paula Duarte Gaspar, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,26/02/2015,Brussels,"THEMES OF GASTEIN FORUM FOR 2016, AND POSSIBLE PARTICIPATIION OF COMMISSIONER AT THE NEXT GASTEIN FORUM IN OCTOBER 2015",European Health Forum Gastein (EHFG),TRUE,,,
8,"Paula Duarte Gaspar, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,26/02/2015,Brussels,THEMES OF GAESTEIN FORUM FOR 2016 AND POSSIBLE PARTICIPATION OF,European Health Forum Gastein (EHFG),TRUE,,,
1,"Stella Kyriakides, Commissioner",Health,7/10/2020,Brussels - virtual,Discussion on Europe's Beating Cancer Plan and the need for early detection and diagnosis.,European Society of Radiology (ESR),TRUE,,,
2,"Gonzalo De Mendoza Asensi, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,13/11/2015,Brussels,Presentation of the ESR activities - follow up,European Society of Radiology (ESR),FALSE,,,
3,"Gonzalo De Mendoza Asensi, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,17/06/2015,Brussels,Presentation of ESR activities,European Society of Radiology (ESR),FALSE,,,
