NIF,Filial propietaria directa,Inmuebles,Matriz,Sede empresa matriz,Sociedad intermedia utilizada,Sede sociedad utilizada,Tipo sociedad utilizada,Administración,Sector,Subsector,Fuente,Fuente 2,Fuente 3,Fuente 4,Fuente 5,Fuente 6,Fuente 7,Fuente 8
A70302039,ABANCA CORPORACION BANCARIA SA,55,Abanca,España,Abanca,España,Empresa privada,NA,Entidades financieras,Banca,https://civio.box.com/s/66p5k4lv0dr7ox37wzvnlkhxw4xrstqe,NA,NA,NA,NA,NA,NA,NA
B09658576,"ACEF SPAIN PROPCO, S.L.U.",523,Axa,Francia,Acef Holding S.C.A,Luxemburgo,Socimi,NA,Seguros,NA,https://www.boe.es/borme/dias/2022/04/08/pdfs/BORME-A-2022-69-28.pdf,https://www.boe.es/borme/dias/2022/04/07/pdfs/BORME-A-2022-68-28.pdf,https://www.boe.es/borme/dias/2022/05/06/pdfs/BORME-A-2022-86-28.pdf,NA,NA,NA,NA,NA
B31813843,"ADANIA PATRIMONIO, S.L.",148,Adania,España,Adania,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q2802152E,ADIF-ALTA VELOCIDAD,142,Adif,España,Adif,España,Empresas públicas o administraciones,Administración central,Otros,Infraestructuras aeroportuarias,NA,NA,NA,NA,NA,NA,NA,NA
B83195800,ADMAFINCAS S.L,88,Admafincas SL,España,Admafincas SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A80032097,"ADMINISTRACIÓN Y GESTIÓN DE EDIFICIOS, S.A.",97,Administración y gestión de edificios SA,España,Administración y gestión de edificios SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B82367921,ADMINISTRACIONES HERRANZ S.L.,61,Administraciones Herranz SL,España,Administraciones Herranz SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q2801660H,ADMINISTRADOR DE INFRAESTRUCTURAS FERROVIARIAS,527,Adif,España,Adif,España,Empresas públicas o administraciones,Administración central,Otros,Infraestructuras ferroviarias,NA,NA,NA,NA,NA,NA,NA,NA
A86212420,"AENA S.M.E, S.A.",1038,Aena,España,Aena S.M.E. SA,España,Empresas públicas o administraciones,Administración central,Otros,Infraestructuras aeroportuarias,https://www.aena.es/es/corporativa/sobre-aena/perfil-de-la-compania.html,NA,NA,NA,NA,NA,NA,NA
B28569127,AFAR 4 S.L.,152,Afar 4 SL,España,Afar 4 SL,España,Empresa privada,NA,Construcción,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q2840001h ,AGENCIA DE VIVIENDA SOCIAL,21445,Comunidad de Madrid,España,Agencia de Vivienda Social,España,Empresas públicas o administraciones,Comunidad Autónoma,Parque público,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28221091,"AGISA, S.A.",882,Agisa,España,Agisa,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B66414806,"AKM ARGANZUELA, S.L.",56,Nohacmagdas Investments SL,España,Nohacmagdas Investments SL,España,Empresa privada,NA,Entidades financieras,Compraventa de participaciones,https://www.boe.es/borme/dias/2020/10/19/pdfs/BORME-A-2020-202-28.pdf,https://www.boe.es/borme/dias/2020/07/16/pdfs/BORME-A-2020-136-28.pdf,NA,NA,NA,NA,NA,NA
A87287504,"ALBA PATRIMONIO INMOBILIARIO, S.A.",55,Grupo March,España,Grupo March,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2015/06/10/pdfs/BORME-A-2015-107-28.pdf,https://www.corporacionalba.es/informacion-corporativa/,NA,NA,NA,NA,NA,NA
B79475190,"ALCOMAR HERREGA, S.L.",55,Alcomar Herrega SA,España,Alcomar Herrega SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28233534,"ALDESA CONSTRUCCIONES, S.A.",215,Aldesa,España,Aldesa,España,Empresa privada,NA,Construcción,NA,NA,NA,NA,NA,NA,NA,NA,NA
A87085445,ALDIGAVIA S.A.U.,353,Grupo Ortiz,España,Grupo Ortiz Properties Socimi SA ,España,Socimi,NA,Inmobiliaria,NA,https://backend.grupoortiz.com/wp-content/uploads/2022/03/Cuentas-Anuales-Consolidadas-2021.pdf,NA,NA,NA,NA,NA,NA,NA
A28076602,"ALESPA, S.A.",153,Alespa SA,España,Alespa SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B87698833,"ALEXIA PATRIMONIO RESIDENCIAL, S.L.",78,Alexia Patrimonio Residencial SL,España,Alexia Patrimonio Residencial SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2017/02/08/pdfs/BORME-A-2017-27-28.pdf,NA,NA,NA,NA,NA,NA,NA
A28007748,ALLIANZ COMPAÑIA DE SEGUROS Y REASEGUROS,54,Grupo Allianz,Alemania,Grupo Allianz,Alemania,Empresa privada,NA,Seguros,NA,NA,NA,NA,NA,NA,NA,NA,NA
B28039089,"ALMACENES DEL MORAL, S.L",68,Almacenes del Moral SL,España,Almacenes del Moral SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B85871481,"ALPHA TIGER SPAIN 1, S.L.U",119,CBRE,Estados Unidos,CBRE H2O Rivas Holding N.V.,Países Bajos,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2018/03/20/pdfs/BORME-A-2018-56-28.pdf,https://www.annualreports.com/HostedData/AnnualReportArchive/a/LSE_ARTL_2019.pdf,NA,NA,NA,NA,NA,NA
B81566366,ALQ-GEST ALQUILERES Y GESTION INMOBILIARIA SL,331,Alquileres y Gestión SL,España,Alquileres y Gestión SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B87289385,"ALQUILAME 2015, S.L.",63,Alquilame 2015 SL,España,Alquilame 2015 SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B84239409,ALQUILERES DEL ESTE SL,57,Alquileres del Este SL,España,Alquileres del Este SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B83636332,"ALQUILERES LA PEDRIZA, S.L.",85,Alquileres La Pedriza SL,España,Alquileres La Pedriza SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B86417979,"ALQUILOPISOSMADRID, S.L.",227,AlquilopisosMadrid SL,España,AlquilopisosMadrid SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B85210417,"ALQUIVICAR, S.L.",72,Alquivicar SL,España,Alquivicar SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28100915,"ALTAMIRA SANTANDER REAL ESTATE, S. A.",351,Banco Santander,España,Banco Santander,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2020/09/25/pdfs/BORME-A-2020-187-28.pdf,NA,NA,NA,NA,NA,NA,NA
U84794304,ANDRIA INVERSIONES INMOBILIARIAS S.A. Y FERCLER S.L. UTE,255,Andra Inversiones Inmobiliarias SA,España,Andra Inversiones Inmobiliarias SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
