Matriz,CCAA,Tipo,viviendas
1948 Associats,Cataluña,Privado,58
2002 Nuevas Inversiones SL,Comunidad Valenciana,Privado,88
2020 Immopedralbel SL,Cataluña,Privado,52
A3 Domus Habitatges SL,Cataluña,Privado,55
ACS,Madrid,Privado,112
AEW,Cataluña,Privado,58
AGE,Andalucía,Público,1804
AGE,Castilla-La Mancha,Público,346
AGE,Cataluña,Público,2220
AGE,Galicia,Público,74
AGE,Madrid,Público,2901
AGE,Madrid,otros,502
AGE,Comunidad Valenciana,Público,732
AI Calcium (Luxembourg) SARL,Madrid,Privado,76
AP67 Socimi SA,Madrid,Privado,193
Abanca,Andalucía,Privado,97
Abanca,Cataluña,Privado,54
Abanca,Galicia,Privado,288
Abanca,Madrid,Privado,55
Acmar SL,Cataluña,Privado,96
Acranou,Cataluña,Privado,68
Adania Grupo Empresarial,Madrid,Privado,148
Adania Grupo Empresarial,Navarra,Privado,564
Adenara SL,Madrid,Privado,836
Adequita Capital Ltd,Cataluña,Privado,142
Adevipe SA,Cataluña,Privado,90
Admafincas SL,Madrid,Privado,88
Administraciones Herranz SL,Madrid,Privado,61
Administración y gestión de edificios SA,Madrid,Privado,97
Aerem Sulcans SL,Madrid,Privado,57
Afar 4 SL,Madrid,Privado,152
Afiens Legal SLP,Andalucía,Privado,93
Afiens Legal SLP,Madrid,Privado,89
Agisa,Madrid,Privado,882
Ajuntament San Cugat del Vallés,Cataluña,Público,508
Ajuntament Sant Just Desvent,Cataluña,Público,130
Ajuntament d'Igualada,Cataluña,Público,149
Ajuntament de Barcelona,Cataluña,Público,4809
Ajuntament de Cornellà de Llobregat,Cataluña,Público,72
Ajuntament de L'Hospitalet de Llobregat,Cataluña,Público,143
Ajuntament de Manresa,Cataluña,Público,240
Ajuntament de Mataró,Cataluña,Público,257
Ajuntament de Rubí,Cataluña,Público,96
Ajuntament de Sabadell,Cataluña,Público,1015
Ajuntament de Sant Joan Despí,Cataluña,Público,153
Ajuntament de Sant Quirze del Vallès,Cataluña,Público,53
Ajuntament de Santa Coloma de Gramanet,Cataluña,Público,283
Ajuntament de Terrassa,Cataluña,Público,745
Alba 810 SL,Comunidad Valenciana,Privado,52
Alcomar Herrega SA,Madrid,Privado,55
Alcros SL,Cataluña,Privado,142
Aldesa,Madrid,Privado,215
Aleix SL,Cataluña,Privado,91
Aleksandra City Finance SL,Comunidad Valenciana,Privado,52
Alespa SA,Madrid,Privado,153
Alexia Patrimonio Residencial SL,Madrid,Privado,78
Alibuca SL,Cataluña,Privado,82
Almacenes Prieto Carreño SL,Andalucía,Privado,63
Almacenes del Moral SL,Madrid,Privado,68
Almagro Capital,Madrid,Privado,128
Almeriventa SL,Andalucía,Privado,227
Almosa,Cataluña,Privado,103
Alqui SA,Cataluña,Privado,94
Alquilame 2015 SL,Madrid,Privado,63
Alquiler de casas bonificables,Comunidad Valenciana,Privado,64
Alquileres Angochi SL,Andalucía,Privado,96
Alquileres Campus Stellae S.L.,Galicia,Privado,123
Alquileres Directos SL,Cataluña,Privado,90
Alquileres La Pedriza SL,Madrid,Privado,85
Alquileres del Este SL,Madrid,Privado,57
Alquileres y Gestión SL,Madrid,Privado,331
AlquilopisosMadrid SL,Madrid,Privado,227
Alquivicar SL,Madrid,Privado,72
